Id,Password,Name,Gender,Views,Purchases,Preferences
0,2617,Margretta,female,87;34;10;27;82;2;70;94;75;5;81;73;9;3;42;29,9;81;94;73;42;10;87;70;5,none
1,8852,Hillary,male,9;8;1;76;31;15;79;13;46;26;33;44;21;19;69;12,69;79;76;15;26,none
2,8732,Alberto,male,73;84;25;17,25,none
3,7616,Erick,male,86;40;0;16,86;0,none
4,1571,Azaria,female,5;43;77;90;63;15;68;72;17;55;35;37;42;65;22;85;23;2;32;98,68;23;63,none
5,7893,Javonte,male,86;35;13,86;35,none
6,6118,Dozier,male,71;73;40;90;4;14;5;64;49;29;58;19;3;42;47;91;62,64;73;90;58;5;29;47;40;19;71;91;42;4;3;49;14,none
7,8844,Juliana,female,30;90;33;54;98;56,33;30,none
8,1268,Elmyra,female,35;37;7,none
9,6181,Hjalmar,male,92;36,92,none
10,1910,Dayna,female,26;9;32;22;91;64;23;2;90;18;13;0;46;56;77;75;25;60;68;84;40;41;44;28,none
11,8996,Grisel,female,51;4;53;74;0;92;66;40;19;56;49;39,53;19;74;51;4;92;0;40;66;49,none
12,2790,Gracia,female,62;52;16;63;24;65;26;35;59;30;91;2;23;87;25;34;76;28;36;95;51,16,none
13,1218,Halbert,male,75;2;56;25;45;93;26;35;58;1;98;57;44,56,none
14,4377,Tad,male,68;33;31;65;20;58;99;82;61;66;6;59;14;29;2;89,99;65;29;58;82;33;61,none
15,5427,Foy,male,5;0;16;95;72;70;41;26;62;57;61;46;37;53;76,57;46;0;72;95;62;53;5;37;70;61;16;41,none
16,5483,Claiborne,male,71;28;79;51;15;59;62;90;42;88;52;82;91;94,51;71;42;91;90;28;79;15;59;82;88;52,none
17,6158,Brannon,male,73;5;15;16;26;72;0;62;89;8;87;71;85;14;38,none
18,5721,Giuseppe,male,58;22;32;97,58;22;32,none
19,5767,Shoji,male,50;71;57;21,57;71;50,none
20,6916,Zane,male,45;72;80,45;72,none
21,3558,Gregory,male,53,none
22,6911,Tameka,female,66;85;72;52;12;93;4;73;56;5;22;87;68,5;4;72;66;56;87,none
23,8553,Nonie,female,53;91;9;88;46;42;36;38;85;40;8;68;63;65;34;72;70;67;50;26;83;6;57;43,40;26;65;36;38;8;70;34,none
24,1993,Sienna,female,96;14;12;87;42;17;82,12;96;87,none
25,6406,Helmer,male,18;47;62;96;73;37;26;22;59;45;56;75;3;98;91;90;12;87;23;88;39;77,98;59;22;96;23;73;87;47;91;90;37;12;62;75;26;39;3,none
26,2573,Valeria,female,3;66;68;70;5;79;99;71;7;38;16;4;17;31;96;36;62;82;76;46;95;24,31;71;7;79;36;82;66;4;68;99;17,none
27,3576,Kenji,male,5;74,none
28,5807,Baylie,female,82;48;88;17;58;45;92;37;25;38;53;98;51;76;20;72;23;46,88;53;38;45;58;98;37;20;17;25;82,none
29,6117,Eusebio,male,38;12;4;48;47;69;62;84;59;30;17;2;81,2;48;47;4;84,none
